ANALYTE_ID	DESCRIPTION	NAME	REAGENT_ACCESSION	WORKSPACE_ID
1212		FL-2	ESR4335	990
1119		CD161	ESR4242	990
1253		IgM	ESR4539	990
1250		IgG-a	ESR4536	990
1213		FL-3	ESR4336	990
1146		CD3	ESR4269	990
1109		CD123	ESR4232	990
1248		IgE-a	ESR4534	990
1142		CD3,56,19,14	ESR4265	990
1251		IgG1	ESR4537	990
1211		FL-1	ESR4334	990
1099		CCR5	ESR4222	990
1218		HLADR	ESR4341	990
1214		FL-4	ESR4337	990
1133		CD25	ESR4256	990
1096		CCR3	ESR4219	990
1097		CCR4	ESR4220	990
1247		IgE-a	ESR4533	990
1102		CD11C	ESR4225	990
1141		CD3,14,19	ESR4264	990
1166		CD45RO	ESR4289	990
1120		CD19	ESR4243	990
1252		IgG4	ESR4538	990
1246		Free IGE	ESR4532	990
1155		CD4	ESR4278	990
1192		CD8	ESR4315	990
1113		CD14	ESR4236	990
1177		CD56	ESR4300	990
1202		CXCR3	ESR4325	990
1164		CD45RA	ESR4287	990
1130		CD23	ESR4253	990
1249		IgG-a	ESR4535	990
