BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS119964	ES82283	EXP3727
BS119964	ES82277	EXP3727
BS119964	ES82275	EXP3727
BS119966	ES82298	EXP3727
BS119967	ES82310	EXP3727
BS119968	ES82317	EXP3727
BS119969	ES82325	EXP3727
BS119970	ES82337	EXP3727
BS119970	ES82334	EXP3727
BS119970	ES82331	EXP3727
BS119971	ES82338	EXP3727
BS119972	ES82353	EXP3727
BS119972	ES82352	EXP3727
BS119972	ES82348	EXP3727
BS119973	ES82364	EXP3727
BS119973	ES82363	EXP3727
BS119973	ES82359	EXP3727
BS119973	ES82357	EXP3727
BS119975	ES82381	EXP3727
BS119976	ES82383	EXP3727
BS119978	ES82409	EXP3727
BS119982	ES82439	EXP3727
BS119982	ES82438	EXP3727
BS119985	ES82471	EXP3727
BS119985	ES82470	EXP3727
BS119985	ES82468	EXP3727
BS119985	ES82467	EXP3727
BS119986	ES82479	EXP3727
BS119986	ES82473	EXP3727
BS119987	ES82482	EXP3727
BS119991	ES82518	EXP3727
BS119993	ES82541	EXP3727
BS119994	ES82551	EXP3727
BS119996	ES82563	EXP3727
BS119996	ES82562	EXP3727
BS119997	ES82587	EXP3727
BS119997	ES82583	EXP3727
BS119997	ES82581	EXP3727
BS120000	ES82612	EXP3727
BS120000	ES82610	EXP3727
BS120000	ES82606	EXP3727
BS120001	ES82621	EXP3727
BS120002	ES82629	EXP3727
BS120002	ES82626	EXP3727
BS120003	ES82641	EXP3727
BS120003	ES82634	EXP3727
BS120004	ES82650	EXP3727
BS120005	ES82656	EXP3727
BS120005	ES82654	EXP3727
BS120005	ES82652	EXP3727
BS120008	ES82691	EXP3727
BS120009	ES82699	EXP3727
BS120011	ES82720	EXP3727
BS120011	ES82719	EXP3727
BS120012	ES82730	EXP3727
BS120012	ES82724	EXP3727
BS120013	ES82735	EXP3727
BS120013	ES82733	EXP3727
BS120013	ES82732	EXP3727
BS120015	ES82749	EXP3727
BS120017	ES82767	EXP3727
BS120019	ES82791	EXP3727
BS120019	ES82789	EXP3727
BS120019	ES82787	EXP3727
BS120020	ES82801	EXP3727
BS120020	ES82797	EXP3727
BS120020	ES82795	EXP3727
BS120021	ES82808	EXP3727
BS120021	ES82806	EXP3727
BS120021	ES82803	EXP3727
BS120022	ES82815	EXP3727
BS120023	ES82824	EXP3727
BS120024	ES82830	EXP3727
BS120025	ES82839	EXP3727
BS120025	ES82838	EXP3727
BS120026	ES82849	EXP3727
BS120026	ES82847	EXP3727
BS120026	ES82845	EXP3727
BS120030	ES82885	EXP3727
BS120030	ES82879	EXP3727
BS120032	ES82896	EXP3727
BS120035	ES82929	EXP3727
BS120035	ES82926	EXP3727
BS120035	ES82925	EXP3727
BS120036	ES82940	EXP3727
BS120036	ES82934	EXP3727
BS120039	ES82973	EXP3727
BS120040	ES82982	EXP3727
BS120042	ES83001	EXP3727
BS120043	ES83011	EXP3727
BS120043	ES83005	EXP3727
BS120045	ES83022	EXP3727
BS120047	ES83047	EXP3727
BS120049	ES83065	EXP3727
BS120050	ES83069	EXP3727
BS120050	ES83068	EXP3727
BS120052	ES83090	EXP3727
BS120052	ES83088	EXP3727
BS120053	ES83100	EXP3727
BS120053	ES83099	EXP3727
BS120054	ES83109	EXP3727
BS120055	ES83119	EXP3727
BS120057	ES83141	EXP3727
BS120057	ES83137	EXP3727
BS120057	ES83134	EXP3727
BS120057	ES83132	EXP3727
BS120058	ES83150	EXP3727
BS120059	ES83162	EXP3727
BS120059	ES83158	EXP3727
BS120060	ES83170	EXP3727
BS120063	ES83204	EXP3727
BS120063	ES83200	EXP3727
BS120063	ES83198	EXP3727
BS120064	ES83225	EXP3727
BS120065	ES83228	EXP3727
BS120067	ES83247	EXP3727
BS120069	ES83270	EXP3727
BS120069	ES83269	EXP3727
BS120069	ES83263	EXP3727
BS120070	ES83277	EXP3727
BS120070	ES83276	EXP3727
BS120070	ES83273	EXP3727
BS120072	ES83296	EXP3727
BS120073	ES83300	EXP3727
BS120074	ES83319	EXP3727
BS120074	ES83314	EXP3727
BS120075	ES83331	EXP3727
BS120077	ES83343	EXP3727
BS120079	ES83369	EXP3727
BS120080	ES83375	EXP3727
BS120080	ES83374	EXP3727
BS120080	ES83371	EXP3727
BS120082	ES83389	EXP3727
BS120083	ES83404	EXP3727
BS120083	ES83403	EXP3727
BS120083	ES83398	EXP3727
BS120084	ES83408	EXP3727
BS120085	ES83418	EXP3727
BS120085	ES83417	EXP3727
BS120085	ES83416	EXP3727
BS120085	ES83415	EXP3727
BS120088	ES83445	EXP3727
BS120088	ES83442	EXP3727
BS120093	ES83491	EXP3727
BS120093	ES83490	EXP3727
BS120093	ES83486	EXP3727
BS120094	ES83500	EXP3727
BS120094	ES83494	EXP3727
BS120097	ES83522	EXP3727
BS120097	ES83520	EXP3727
BS120100	ES83554	EXP3727
BS120102	ES83565	EXP3727
BS120102	ES83564	EXP3727
BS120103	ES83579	EXP3727
BS120103	ES83576	EXP3727
BS120105	ES83595	EXP3727
BS120107	ES83611	EXP3727
BS120108	ES83625	EXP3727
BS120108	ES83623	EXP3727
BS120108	ES83621	EXP3727
BS120108	ES83617	EXP3727
BS120111	ES83660	EXP3727
BS120113	ES83679	EXP3727
BS120114	ES83683	EXP3727
BS120115	ES83696	EXP3727
BS120115	ES83695	EXP3727
BS120116	ES83706	EXP3727
BS120116	ES83703	EXP3727
BS120117	ES83715	EXP3727
BS120117	ES83712	EXP3727
BS120117	ES83711	EXP3727
BS120117	ES83710	EXP3727
BS120118	ES83720	EXP3727
BS120119	ES83730	EXP3727
BS120120	ES83744	EXP3727
BS120120	ES83741	EXP3727
BS120122	ES83757	EXP3727
BS120123	ES83764	EXP3727
BS120125	ES83786	EXP3727
BS120125	ES83784	EXP3727
BS120126	ES83795	EXP3727
BS120127	ES83803	EXP3727
BS120127	ES83802	EXP3727
BS120127	ES83800	EXP3727
BS120128	ES83814	EXP3727
BS120128	ES83811	EXP3727
BS120128	ES83807	EXP3727
BS120129	ES83816	EXP3727
BS120130	ES83832	EXP3727
BS120130	ES83827	EXP3727
BS120131	ES83837	EXP3727
BS120131	ES83834	EXP3727
BS120134	ES83863	EXP3727
BS120134	ES83862	EXP3727
BS120136	ES83882	EXP3727
BS120137	ES83893	EXP3727
BS120137	ES83892	EXP3727
BS120138	ES83905	EXP3727
BS120139	ES83909	EXP3727
BS120140	ES83922	EXP3727
BS120140	ES83921	EXP3727
BS120141	ES83931	EXP3727
BS120142	ES83937	EXP3727
BS120142	ES83933	EXP3727
BS120143	ES83947	EXP3727
BS120144	ES83955	EXP3727
BS120146	ES83974	EXP3727
BS120147	ES83985	EXP3727
BS120148	ES83992	EXP3727
BS120148	ES83987	EXP3727
BS120149	ES83998	EXP3727
BS120149	ES83995	EXP3727
BS120150	ES84004	EXP3727
BS120152	ES84026	EXP3727
BS120152	ES84025	EXP3727
BS120154	ES84047	EXP3727
BS120154	ES84046	EXP3727
BS120155	ES84055	EXP3727
BS120156	ES84062	EXP3727
BS120156	ES84061	EXP3727
BS120156	ES84059	EXP3727
BS120158	ES84076	EXP3727
BS120159	ES84086	EXP3727
BS120160	ES84098	EXP3727
BS120161	ES84108	EXP3727
BS120162	ES84115	EXP3727
BS120162	ES84111	EXP3727
BS120162	ES84110	EXP3727
BS120163	ES84125	EXP3727
BS120164	ES84130	EXP3727
BS120165	ES84137	EXP3727
BS120167	ES84163	EXP3727
BS120168	ES84170	EXP3727
BS120169	ES84180	EXP3727
BS120169	ES84173	EXP3727
BS120174	ES84223	EXP3727
BS120175	ES84234	EXP3727
BS120175	ES84233	EXP3727
BS120175	ES84229	EXP3727
BS120177	ES84251	EXP3727
BS120177	ES84249	EXP3727
BS120178	ES84256	EXP3727
BS120178	ES84253	EXP3727
BS120179	ES84270	EXP3727
BS120179	ES84267	EXP3727
BS120179	ES84265	EXP3727
BS120180	ES84277	EXP3727
BS120182	ES84295	EXP3727
BS120182	ES84289	EXP3727
BS120183	ES84304	EXP3727
BS120184	ES84310	EXP3727
BS120185	ES84320	EXP3727
BS120187	ES84342	EXP3727
BS120189	ES84357	EXP3727
BS120190	ES84364	EXP3727
BS120191	ES84374	EXP3727
BS120192	ES84378	EXP3727
BS120194	ES84403	EXP3727
BS120196	ES84420	EXP3727
BS120197	ES84431	EXP3727
BS120197	ES84427	EXP3727
BS120198	ES84440	EXP3727
BS120198	ES84436	EXP3727
BS120198	ES84433	EXP3727
BS120198	ES84432	EXP3727
BS120203	ES84479	EXP3727
BS120204	ES84492	EXP3727
BS120205	ES84500	EXP3727
BS120206	ES84511	EXP3727
