BIOSAMPLE_ACCESSION	PROTOCOL_ACCESSION
BS119966	PTL2332
BS119969	PTL2332
BS119975	PTL2332
BS120004	PTL2332
BS120005	PTL2332
BS120008	PTL2332
BS120017	PTL2332
BS120019	PTL2332
BS120030	PTL2332
BS120032	PTL2332
BS120033	PTL2332
BS120034	PTL2332
BS120039	PTL2332
BS120045	PTL2332
BS120046	PTL2332
BS120053	PTL2332
BS120060	PTL2332
BS120073	PTL2332
BS120074	PTL2332
BS120078	PTL2332
BS120088	PTL2332
BS120093	PTL2332
BS120100	PTL2332
BS120119	PTL2332
BS120125	PTL2332
BS120128	PTL2332
BS120136	PTL2332
BS120139	PTL2332
BS120146	PTL2332
BS120153	PTL2332
BS120157	PTL2332
BS120169	PTL2332
BS120182	PTL2332
BS120186	PTL2332
BS120190	PTL2332
BS120191	PTL2332
BS120194	PTL2332
BS120198	PTL2332
BS120200	PTL2332
BS120208	PTL2332
BS120216	PTL2332
BS120219	PTL2332
BS120220	PTL2332
BS120231	PTL2332
BS120240	PTL2332
BS120255	PTL2332
BS120256	PTL2332
BS120263	PTL2332
BS120266	PTL2332
BS120276	PTL2332
BS120282	PTL2332
BS120284	PTL2332
BS120332	PTL2332
BS120341	PTL2332
BS120358	PTL2332
BS120366	PTL2332
BS120374	PTL2332
BS120379	PTL2332
BS120382	PTL2332
BS120394	PTL2332
BS120400	PTL2332
BS120404	PTL2332
BS120409	PTL2332
BS120415	PTL2332
BS120441	PTL2332
BS120447	PTL2332
BS120463	PTL2332
BS120471	PTL2332
BS120488	PTL2332
BS120491	PTL2332
BS120493	PTL2332
BS120494	PTL2332
BS120512	PTL2332
BS120530	PTL2332
BS120533	PTL2332
BS120554	PTL2332
BS120557	PTL2332
BS120564	PTL2332
BS120577	PTL2332
BS120582	PTL2332
BS120597	PTL2332
BS120598	PTL2332
BS120602	PTL2332
BS120607	PTL2332
BS120618	PTL2332
BS120628	PTL2332
BS120630	PTL2332
BS120633	PTL2332
BS120634	PTL2332
BS120635	PTL2332
BS120639	PTL2332
BS120640	PTL2332
BS120641	PTL2332
BS120643	PTL2332
BS120654	PTL2332
BS120694	PTL2332
BS120699	PTL2332
BS120700	PTL2332
BS120702	PTL2332
BS120708	PTL2332
BS120714	PTL2332
BS120718	PTL2332
BS120729	PTL2332
BS120756	PTL2332
BS120757	PTL2332
BS120760	PTL2332
BS120764	PTL2332
BS120773	PTL2332
BS120775	PTL2332
BS120793	PTL2332
BS120796	PTL2332
BS120799	PTL2332
BS120801	PTL2332
BS120803	PTL2332
BS120812	PTL2332
BS120813	PTL2332
BS120822	PTL2332
BS120823	PTL2332
BS120825	PTL2332
BS120832	PTL2332
BS120834	PTL2332
BS120835	PTL2332
BS121130	PTL2332
BS121136	PTL2332
BS121144	PTL2332
BS121148	PTL2332
BS121153	PTL2332
BS121157	PTL2332
BS121159	PTL2332
BS121161	PTL2332
BS121162	PTL2332
BS121163	PTL2332
BS121166	PTL2332
BS121171	PTL2332
BS121176	PTL2332
BS121186	PTL2332
BS121203	PTL2332
BS121205	PTL2332
BS121212	PTL2332
BS121217	PTL2332
BS121218	PTL2332
BS121225	PTL2332
BS121228	PTL2332
BS121229	PTL2332
BS121234	PTL2332
BS121238	PTL2332
BS121241	PTL2332
BS121245	PTL2332
BS121246	PTL2332
BS121260	PTL2332
BS121262	PTL2332
BS121274	PTL2332
BS121276	PTL2332
BS121279	PTL2332
BS121281	PTL2332
BS121286	PTL2332
BS121291	PTL2332
BS121293	PTL2332
BS121322	PTL2332
BS121323	PTL2332
BS121327	PTL2332
BS121331	PTL2332
BS121352	PTL2332
BS121366	PTL2332
BS121386	PTL2332
BS121392	PTL2332
BS121403	PTL2332
BS121563	PTL2334
BS121586	PTL2334
BS121597	PTL2334
BS121603	PTL2334
BS121604	PTL2334
BS121609	PTL2334
BS121617	PTL2334
BS121619	PTL2334
BS121623	PTL2334
BS121629	PTL2334
BS121633	PTL2334
BS121639	PTL2334
BS121642	PTL2334
BS121655	PTL2334
BS121667	PTL2334
BS121673	PTL2334
BS121676	PTL2334
BS121688	PTL2334
BS121693	PTL2334
BS121696	PTL2334
BS121697	PTL2334
BS121709	PTL2334
BS121717	PTL2334
BS121719	PTL2334
BS121722	PTL2334
BS121724	PTL2334
BS121725	PTL2334
BS121732	PTL2334
BS121742	PTL2334
BS121769	PTL2334
BS121770	PTL2334
BS121772	PTL2334
BS121774	PTL2334
BS121780	PTL2334
BS121783	PTL2334
BS121787	PTL2334
BS121788	PTL2334
BS121809	PTL2334
BS121820	PTL2334
BS121830	PTL2334
BS121832	PTL2334
BS121838	PTL2334
BS121839	PTL2334
BS121842	PTL2334
BS121850	PTL2334
BS121854	PTL2334
BS121862	PTL2334
BS121872	PTL2334
BS121886	PTL2334
BS121892	PTL2334
BS121901	PTL2334
BS121903	PTL2334
BS121907	PTL2334
BS121916	PTL2334
BS121934	PTL2334
BS121938	PTL2334
BS121940	PTL2334
BS121945	PTL2334
BS121950	PTL2334
BS121953	PTL2334
BS121955	PTL2334
BS121970	PTL2334
BS121982	PTL2334
BS121983	PTL2334
BS121994	PTL2334
BS121996	PTL2334
BS121998	PTL2334
BS122009	PTL2334
BS122011	PTL2334
BS122025	PTL2334
BS122035	PTL2334
BS122043	PTL2334
BS122044	PTL2334
BS122047	PTL2334
BS122051	PTL2334
BS122059	PTL2334
BS122073	PTL2334
BS122081	PTL2334
BS122085	PTL2334
BS122089	PTL2334
BS122091	PTL2334
BS122098	PTL2334
BS122103	PTL2334
BS122114	PTL2334
BS122119	PTL2334
BS122120	PTL2334
BS122124	PTL2334
BS122130	PTL2334
BS122149	PTL2334
BS122175	PTL2334
BS122181	PTL2334
BS122195	PTL2334
BS122217	PTL2334
BS122219	PTL2334
BS122224	PTL2334
BS122228	PTL2334
BS122233	PTL2334
BS122251	PTL2334
BS122255	PTL2334
BS122278	PTL2334
BS122285	PTL2334
BS122288	PTL2334
BS122291	PTL2334
BS122296	PTL2334
BS122302	PTL2334
BS122303	PTL2334
BS122305	PTL2334
BS122331	PTL2334
BS122336	PTL2334
BS122353	PTL2334
BS122370	PTL2334
BS122380	PTL2334
BS122390	PTL2334
BS122393	PTL2334
BS122401	PTL2334
BS122404	PTL2334
BS122405	PTL2334
BS122408	PTL2334
BS122410	PTL2334
BS122411	PTL2334
BS122412	PTL2334
BS122414	PTL2334
BS122433	PTL2334
BS122444	PTL2334
BS122446	PTL2334
BS122449	PTL2334
BS122460	PTL2334
BS122482	PTL2334
BS122494	PTL2334
BS122502	PTL2334
BS122520	PTL2334
BS122528	PTL2334
BS122887	PTL2332
BS122889	PTL2332
BS122893	PTL2332
BS122910	PTL2332
BS122913	PTL2332
BS122917	PTL2332
BS122921	PTL2332
BS122926	PTL2332
BS122937	PTL2332
BS122947	PTL2332
BS122951	PTL2332
BS122955	PTL2332
BS122969	PTL2332
BS122986	PTL2332
BS122996	PTL2332
BS123003	PTL2332
BS257200	PTL2332
BS257205	PTL2332
BS257209	PTL2332
BS257223	PTL2332
BS257226	PTL2332
BS257238	PTL2332
BS257239	PTL2332
BS257249	PTL2332
BS257282	PTL2332
BS257287	PTL2332
BS257289	PTL2332
BS257292	PTL2332
BS257293	PTL2332
BS257297	PTL2332
BS257300	PTL2332
BS257303	PTL2332
BS257321	PTL2332
BS257322	PTL2332
BS257334	PTL2332
BS257335	PTL2332
BS257337	PTL2332
BS257341	PTL2332
BS257343	PTL2332
BS257346	PTL2332
BS257348	PTL2332
BS257351	PTL2332
BS257363	PTL2332
BS257373	PTL2332
BS257374	PTL2332
BS257378	PTL2332
BS257381	PTL2332
BS257399	PTL2332
BS257401	PTL2332
BS257411	PTL2332
BS257416	PTL2332
BS257449	PTL2332
BS257468	PTL2332
BS257469	PTL2332
BS257474	PTL2332
BS257476	PTL2332
BS257477	PTL2332
BS257478	PTL2332
BS257486	PTL2332
BS257493	PTL2332
BS257497	PTL2332
BS257514	PTL2332
BS257515	PTL2332
BS257519	PTL2332
BS257524	PTL2332
BS257527	PTL2332
BS257545	PTL2332
BS257549	PTL2332
BS257565	PTL2332
BS257570	PTL2332
BS257584	PTL2332
BS257615	PTL2332
BS119967	PTL2332
BS119976	PTL2332
BS119984	PTL2332
BS119990	PTL2332
BS119991	PTL2332
BS120006	PTL2332
BS120012	PTL2332
BS120014	PTL2332
BS120026	PTL2332
BS120036	PTL2332
BS120058	PTL2332
BS120081	PTL2332
BS120087	PTL2332
BS120101	PTL2332
BS120102	PTL2332
BS120109	PTL2332
BS120115	PTL2332
BS120126	PTL2332
BS120130	PTL2332
BS120131	PTL2332
BS120149	PTL2332
BS120152	PTL2332
BS120163	PTL2332
BS120185	PTL2332
BS120193	PTL2332
BS120201	PTL2332
BS120207	PTL2332
BS120211	PTL2332
BS120223	PTL2332
BS120225	PTL2332
BS120228	PTL2332
BS120234	PTL2332
BS120242	PTL2332
BS120247	PTL2332
BS120253	PTL2332
BS120269	PTL2332
BS120273	PTL2332
BS120283	PTL2332
BS120287	PTL2332
BS120288	PTL2332
BS120306	PTL2332
BS120308	PTL2332
BS120313	PTL2332
BS120330	PTL2332
BS120333	PTL2332
BS120337	PTL2332
BS120342	PTL2332
BS120347	PTL2332
BS120353	PTL2332
BS120355	PTL2332
BS120356	PTL2332
BS120357	PTL2332
BS120386	PTL2332
BS120390	PTL2332
BS120413	PTL2332
BS120424	PTL2332
BS120428	PTL2332
BS120432	PTL2332
BS120434	PTL2332
BS120448	PTL2332
BS120450	PTL2332
BS120454	PTL2332
BS120459	PTL2332
BS120460	PTL2332
BS120477	PTL2332
BS120480	PTL2332
BS120486	PTL2332
BS120490	PTL2332
BS120495	PTL2332
BS120503	PTL2332
BS120511	PTL2332
BS120519	PTL2332
BS120523	PTL2332
BS120529	PTL2332
BS120535	PTL2332
BS120538	PTL2332
BS120558	PTL2332
BS120561	PTL2332
BS120578	PTL2332
BS120583	PTL2332
BS120587	PTL2332
BS120589	PTL2332
BS120593	PTL2332
BS120629	PTL2332
BS120631	PTL2332
BS120636	PTL2332
BS120638	PTL2332
BS120644	PTL2332
BS120678	PTL2332
BS120697	PTL2332
BS120716	PTL2332
BS120721	PTL2332
BS120724	PTL2332
BS120734	PTL2332
BS120740	PTL2332
BS120743	PTL2332
BS120753	PTL2332
BS120759	PTL2332
BS120766	PTL2332
BS120771	PTL2332
BS120780	PTL2332
BS120782	PTL2332
BS120792	PTL2332
BS120797	PTL2332
BS120831	PTL2332
BS121129	PTL2332
BS121135	PTL2332
BS121143	PTL2332
BS121204	PTL2332
BS121208	PTL2332
BS121210	PTL2332
BS121214	PTL2332
BS121224	PTL2332
BS121230	PTL2332
BS121235	PTL2332
BS121254	PTL2332
BS121271	PTL2332
BS121275	PTL2332
BS121294	PTL2332
BS121295	PTL2332
BS121301	PTL2332
BS121309	PTL2332
BS121313	PTL2332
BS121321	PTL2332
BS121324	PTL2332
BS121336	PTL2332
BS121340	PTL2332
BS121344	PTL2332
BS121356	PTL2332
BS121359	PTL2332
BS121365	PTL2332
BS121367	PTL2332
BS121373	PTL2332
BS121380	PTL2332
BS121393	PTL2332
BS121397	PTL2332
BS121549	PTL2334
BS121559	PTL2334
BS121564	PTL2334
BS121568	PTL2334
BS121569	PTL2334
BS121574	PTL2334
BS121583	PTL2334
BS121592	PTL2334
BS121594	PTL2334
BS121598	PTL2334
BS121618	PTL2334
BS121626	PTL2334
BS121627	PTL2334
BS121646	PTL2334
BS121653	PTL2334
BS121666	PTL2334
BS121670	PTL2334
BS121671	PTL2334
BS121672	PTL2334
BS121683	PTL2334
BS121701	PTL2334
BS121702	PTL2334
BS121736	PTL2334
BS121737	PTL2334
BS121741	PTL2334
BS121743	PTL2334
BS121753	PTL2334
BS121764	PTL2334
BS121765	PTL2334
BS121782	PTL2334
BS121801	PTL2334
BS121803	PTL2334
BS121810	PTL2334
BS121812	PTL2334
BS121813	PTL2334
BS121817	PTL2334
BS121829	PTL2334
BS121853	PTL2334
BS121868	PTL2334
BS121871	PTL2334
BS121884	PTL2334
BS121895	PTL2334
BS121912	PTL2334
BS121915	PTL2334
BS121919	PTL2334
BS121922	PTL2334
BS121926	PTL2334
BS121928	PTL2334
BS121933	PTL2334
BS121937	PTL2334
BS121941	PTL2334
BS121947	PTL2334
BS121948	PTL2334
BS121966	PTL2334
BS121973	PTL2334
BS121995	PTL2334
BS122010	PTL2334
BS122013	PTL2334
BS122017	PTL2334
BS122018	PTL2334
BS122029	PTL2334
BS122037	PTL2334
BS122038	PTL2334
BS122040	PTL2334
BS122048	PTL2334
BS122055	PTL2334
BS122062	PTL2334
BS122078	PTL2334
BS122082	PTL2334
BS122087	PTL2334
BS122135	PTL2334
BS122141	PTL2334
BS122150	PTL2334
BS122161	PTL2334
BS122163	PTL2334
BS122166	PTL2334
BS122177	PTL2334
BS122179	PTL2334
BS122185	PTL2334
BS122197	PTL2334
BS122199	PTL2334
BS122212	PTL2334
BS122216	PTL2334
BS122218	PTL2334
BS122220	PTL2334
BS122221	PTL2334
BS122227	PTL2334
BS122229	PTL2334
BS122234	PTL2334
BS122236	PTL2334
BS122238	PTL2334
BS122250	PTL2334
BS122262	PTL2334
BS122268	PTL2334
BS122292	PTL2334
BS122294	PTL2334
BS122295	PTL2334
BS122299	PTL2334
BS122318	PTL2334
BS122328	PTL2334
BS122338	PTL2334
BS122350	PTL2334
BS122377	PTL2334
BS122378	PTL2334
BS122381	PTL2334
BS122387	PTL2334
BS122403	PTL2334
BS122417	PTL2334
BS122440	PTL2334
BS122472	PTL2334
BS122477	PTL2334
BS122486	PTL2334
BS122491	PTL2334
BS122492	PTL2334
BS122499	PTL2334
BS122501	PTL2334
BS122518	PTL2334
BS122526	PTL2334
BS122881	PTL2332
BS122892	PTL2332
BS122895	PTL2332
BS122898	PTL2332
BS122907	PTL2332
BS122916	PTL2332
BS122923	PTL2332
BS122948	PTL2332
BS122970	PTL2332
BS122975	PTL2332
BS122991	PTL2332
BS123002	PTL2332
BS123006	PTL2332
BS123007	PTL2332
BS123008	PTL2332
BS123009	PTL2332
BS123017	PTL2332
BS257202	PTL2332
BS257208	PTL2332
BS257210	PTL2332
BS257213	PTL2332
BS257214	PTL2332
BS257216	PTL2332
BS257217	PTL2332
BS257231	PTL2332
BS257232	PTL2332
BS257245	PTL2332
BS257271	PTL2332
BS257305	PTL2332
BS257313	PTL2332
BS257315	PTL2332
BS257318	PTL2332
BS257323	PTL2332
BS257339	PTL2332
BS257347	PTL2332
BS257353	PTL2332
BS257360	PTL2332
BS257364	PTL2332
BS257369	PTL2332
BS257376	PTL2332
BS257393	PTL2332
BS257394	PTL2332
BS257395	PTL2332
BS257408	PTL2332
BS257419	PTL2332
BS257435	PTL2332
BS257436	PTL2332
BS257443	PTL2332
BS257473	PTL2332
BS257479	PTL2332
BS257500	PTL2332
BS257507	PTL2332
BS257526	PTL2332
BS257528	PTL2332
BS257533	PTL2332
BS257535	PTL2332
BS257553	PTL2332
BS257575	PTL2332
BS257577	PTL2332
BS257578	PTL2332
BS257597	PTL2332
BS257614	PTL2332
BS119965	PTL2332
BS119974	PTL2332
BS119981	PTL2332
BS119983	PTL2332
BS119987	PTL2332
BS120031	PTL2332
BS120043	PTL2332
BS120047	PTL2332
BS120056	PTL2332
BS120057	PTL2332
BS120082	PTL2332
BS120094	PTL2332
BS120095	PTL2332
BS120098	PTL2332
BS120104	PTL2332
BS120132	PTL2332
BS120142	PTL2332
BS120143	PTL2332
BS120155	PTL2332
BS120187	PTL2332
BS120203	PTL2332
BS120204	PTL2332
BS120206	PTL2332
BS120241	PTL2332
BS120243	PTL2332
BS120250	PTL2332
BS120272	PTL2332
BS120275	PTL2332
BS120277	PTL2332
BS120291	PTL2332
BS120303	PTL2332
BS120314	PTL2332
BS120326	PTL2332
BS120339	PTL2332
BS120364	PTL2332
BS120372	PTL2332
BS120377	PTL2332
BS120387	PTL2332
BS120389	PTL2332
BS120406	PTL2332
BS120411	PTL2332
BS120416	PTL2332
BS120418	PTL2332
BS120419	PTL2332
BS120439	PTL2332
BS120440	PTL2332
BS120442	PTL2332
BS120451	PTL2332
BS120457	PTL2332
BS120482	PTL2332
BS120484	PTL2332
BS120517	PTL2332
BS120531	PTL2332
BS120537	PTL2332
BS120541	PTL2332
BS120542	PTL2332
BS120550	PTL2332
BS120567	PTL2332
BS120568	PTL2332
BS120576	PTL2332
BS120579	PTL2332
BS120585	PTL2332
BS120590	PTL2332
BS120594	PTL2332
BS120605	PTL2332
BS120616	PTL2332
BS120637	PTL2332
BS120661	PTL2332
BS120663	PTL2332
BS120671	PTL2332
BS120676	PTL2332
BS120677	PTL2332
BS120679	PTL2332
BS120685	PTL2332
BS120686	PTL2332
BS120692	PTL2332
BS120713	PTL2332
BS120715	PTL2332
BS120720	PTL2332
BS120727	PTL2332
BS120746	PTL2332
BS120750	PTL2332
BS120752	PTL2332
BS120768	PTL2332
BS120770	PTL2332
BS120787	PTL2332
BS120788	PTL2332
BS120800	PTL2332
BS120810	PTL2332
BS120815	PTL2332
BS120819	PTL2332
BS120820	PTL2332
BS120829	PTL2332
BS120836	PTL2332
BS120840	PTL2332
BS120842	PTL2332
BS121133	PTL2332
BS121154	PTL2332
