EXPSAMPLE_ACCESSION	DATA_FORMAT	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	RESULT_TOTAL_RECS	WORKSPACE_ID
ES100016	ELISA		EXP3728		ELISA	1	990
ES100020	ELISA		EXP3728		ELISA	1	990
ES100024	ELISA		EXP3728		ELISA	1	990
ES100026	ELISA		EXP3728		ELISA	1	990
ES100028	ELISA		EXP3728		ELISA	1	990
ES100033	ELISA		EXP3728		ELISA	1	990
ES100050	ELISA		EXP3728		ELISA	1	990
ES100053	ELISA		EXP3728		ELISA	1	990
ES100058	ELISA		EXP3728		ELISA	1	990
ES100087	ELISA		EXP3728		ELISA	1	990
ES100103	ELISA		EXP3728		ELISA	1	990
ES100105	ELISA		EXP3728		ELISA	1	990
ES100113	ELISA		EXP3728		ELISA	1	990
ES100126	ELISA		EXP3728		ELISA	1	990
ES100133	ELISA		EXP3728		ELISA	1	990
ES100135	ELISA		EXP3728		ELISA	1	990
ES100137	ELISA		EXP3728		ELISA	1	990
ES100139	ELISA		EXP3728		ELISA	1	990
ES100149	ELISA		EXP3728		ELISA	1	990
ES100154	ELISA		EXP3728		ELISA	1	990
ES100161	ELISA		EXP3728		ELISA	1	990
ES100166	ELISA		EXP3728		ELISA	1	990
ES100172	ELISA		EXP3728		ELISA	1	990
ES100187	ELISA		EXP3728		ELISA	1	990
ES100199	ELISA		EXP3728		ELISA	1	990
ES100209	ELISA		EXP3728		ELISA	1	990
ES100214	ELISA		EXP3728		ELISA	1	990
ES100218	ELISA		EXP3728		ELISA	1	990
ES100222	ELISA		EXP3728		ELISA	1	990
ES100233	ELISA		EXP3728		ELISA	1	990
ES100245	ELISA		EXP3728		ELISA	1	990
ES100247	ELISA		EXP3728		ELISA	1	990
ES100251	ELISA		EXP3728		ELISA	1	990
ES100254	ELISA		EXP3728		ELISA	1	990
ES100279	ELISA		EXP3728		ELISA	1	990
ES100291	ELISA		EXP3728		ELISA	1	990
ES100300	ELISA		EXP3728		ELISA	1	990
ES100312	ELISA		EXP3728		ELISA	1	990
