EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES103432	EXP3727	69956	Flow_Cytometry	FCM
ES103437	EXP3727	68115	Flow_Cytometry	FCM
ES103441	EXP3727	68099	Flow_Cytometry	FCM
ES103445	EXP3727	68113	Flow_Cytometry	FCM
ES103446	EXP3727	70275	Flow_Cytometry	FCM
ES103455	EXP3727	67595	Flow_Cytometry	FCM
ES103460	EXP3727	67586	Flow_Cytometry	FCM
ES103463	EXP3727	67594	Flow_Cytometry	FCM
ES103464	EXP3727	70027	Flow_Cytometry	FCM
ES103465	EXP3727	70018	Flow_Cytometry	FCM
ES103467	EXP3727	70020	Flow_Cytometry	FCM
ES103485	EXP3727	69715	Flow_Cytometry	FCM
ES103488	EXP3727	69706	Flow_Cytometry	FCM
ES103497	EXP3727	70243	Flow_Cytometry	FCM
ES103503	EXP3727	67983	Flow_Cytometry	FCM
ES103511	EXP3727	70158	Flow_Cytometry	FCM
ES103518	EXP3727	68080	Flow_Cytometry	FCM
ES103519	EXP3727	68072	Flow_Cytometry	FCM
ES103520	EXP3727	68067	Flow_Cytometry	FCM
ES103526	EXP3727	68077	Flow_Cytometry	FCM
ES103534	EXP3727	68362	Flow_Cytometry	FCM
ES103536	EXP3727	68294	Flow_Cytometry	FCM
ES103542	EXP3727	68279	Flow_Cytometry	FCM
ES103553	EXP3727	70043	Flow_Cytometry	FCM
ES103554	EXP3727	67578	Flow_Cytometry	FCM
ES103557	EXP3727	67571	Flow_Cytometry	FCM
ES103564	EXP3727	70108	Flow_Cytometry	FCM
ES103570	EXP3727	70112	Flow_Cytometry	FCM
ES103573	EXP3727	69730	Flow_Cytometry	FCM
ES103580	EXP3727	69737	Flow_Cytometry	FCM
ES103597	EXP3727	67609	Flow_Cytometry	FCM
ES103598	EXP3727	67611	Flow_Cytometry	FCM
ES103598	EXP3727	67612	Flow_Cytometry	FCM
ES103603	EXP3727	67776	Flow_Cytometry	FCM
ES103603	EXP3727	67775	Flow_Cytometry	FCM
ES103620	EXP3727	68216	Flow_Cytometry	FCM
ES103622	EXP3727	68211	Flow_Cytometry	FCM
ES103632	EXP3727	67669	Flow_Cytometry	FCM
ES103633	EXP3727	67679	Flow_Cytometry	FCM
ES103636	EXP3727	69947	Flow_Cytometry	FCM
ES103645	EXP3727	67820	Flow_Cytometry	FCM
ES103645	EXP3727	67819	Flow_Cytometry	FCM
ES103652	EXP3727	67825	Flow_Cytometry	FCM
ES103655	EXP3727	68245	Flow_Cytometry	FCM
ES103656	EXP3727	68251	Flow_Cytometry	FCM
ES103659	EXP3727	68244	Flow_Cytometry	FCM
ES103660	EXP3727	68254	Flow_Cytometry	FCM
ES103663	EXP3727	69767	Flow_Cytometry	FCM
ES103665	EXP3727	69769	Flow_Cytometry	FCM
ES103667	EXP3727	69764	Flow_Cytometry	FCM
ES103668	EXP3727	69761	Flow_Cytometry	FCM
ES103673	EXP3727	67635	Flow_Cytometry	FCM
ES103675	EXP3727	67632	Flow_Cytometry	FCM
ES103678	EXP3727	67643	Flow_Cytometry	FCM
ES103680	EXP3727	68151	Flow_Cytometry	FCM
ES103681	EXP3727	68144	Flow_Cytometry	FCM
ES103682	EXP3727	68140	Flow_Cytometry	FCM
ES103684	EXP3727	68135	Flow_Cytometry	FCM
ES103688	EXP3727	68150	Flow_Cytometry	FCM
ES103689	EXP3727	68239	Flow_Cytometry	FCM
ES103694	EXP3727	68230	Flow_Cytometry	FCM
ES103696	EXP3727	68235	Flow_Cytometry	FCM
