EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	REAGENT_ACCESSION
ES82274	EXP3727	ESR4335
ES82271	EXP3727	ESR4278
ES82271	EXP3727	ESR4431
ES82269	EXP3727	ESR4256
ES82269	EXP3727	ESR4287
ES82267	EXP3727	ESR4278
ES82266	EXP3727	ESR4236
ES82280	EXP3727	ESR4222
ES82277	EXP3727	ESR4427
ES82292	EXP3727	ESR4337
ES82292	EXP3727	ESR4495
ES82289	EXP3727	ESR4315
ES82287	EXP3727	ESR4428
ES82301	EXP3727	ESR4334
ES82301	EXP3727	ESR4336
ES82300	EXP3727	ESR4269
ES82300	EXP3727	ESR4325
ES82299	EXP3727	ESR4264
ES82298	EXP3727	ESR4431
ES82310	EXP3727	ESR4334
ES82310	EXP3727	ESR4335
ES82309	EXP3727	ESR4454
ES82307	EXP3727	ESR4315
ES82307	EXP3727	ESR4431
ES82305	EXP3727	ESR4287
ES82303	EXP3727	ESR4278
ES82319	EXP3727	ESR4334
ES82313	EXP3727	ESR4269
ES82311	EXP3727	ESR4269
ES82327	EXP3727	ESR4269
ES82325	EXP3727	ESR4222
ES82320	EXP3727	ESR4243
ES82320	EXP3727	ESR4386
ES82331	EXP3727	ESR4427
ES82330	EXP3727	ESR4278
ES82329	EXP3727	ESR4236
ES82346	EXP3727	ESR4335
ES82343	EXP3727	ESR4431
ES82341	EXP3727	ESR4256
ES82339	EXP3727	ESR4423
ES82353	EXP3727	ESR4225
ES82352	EXP3727	ESR4278
ES82350	EXP3727	ESR4428
ES82347	EXP3727	ESR4269
ES82363	EXP3727	ESR4300
ES82362	EXP3727	ESR4264
ES82359	EXP3727	ESR4269
ES82356	EXP3727	ESR4253
ES82356	EXP3727	ESR4269
ES82370	EXP3727	ESR4222
ES82370	EXP3727	ESR4278
ES82370	EXP3727	ESR4325
ES82369	EXP3727	ESR4289
ES82368	EXP3727	ESR4278
ES82367	EXP3727	ESR4242
ES82365	EXP3727	ESR4243
ES82381	EXP3727	ESR4269
ES82380	EXP3727	ESR4300
ES82378	EXP3727	ESR4278
ES82390	EXP3727	ESR4222
ES82389	EXP3727	ESR4225
ES82388	EXP3727	ESR4431
ES82387	EXP3727	ESR4269
ES82386	EXP3727	ESR4428
ES82385	EXP3727	ESR4242
ES82384	EXP3727	ESR4423
ES82400	EXP3727	ESR4334
ES82398	EXP3727	ESR4264
ES82398	EXP3727	ESR4300
ES82397	EXP3727	ESR4325
ES82394	EXP3727	ESR4278
ES82394	EXP3727	ESR4427
ES82392	EXP3727	ESR4236
ES82392	EXP3727	ESR4269
ES82409	EXP3727	ESR4335
ES82406	EXP3727	ESR4278
ES82404	EXP3727	ESR4287
ES82402	EXP3727	ESR4220
ES82402	EXP3727	ESR4315
ES82418	EXP3727	ESR4335
ES82414	EXP3727	ESR4256
ES82414	EXP3727	ESR4278
ES82414	EXP3727	ESR4429
ES82411	EXP3727	ESR4219
ES82410	EXP3727	ESR4243
ES82410	EXP3727	ESR4253
ES82427	EXP3727	ESR4337
ES82426	EXP3727	ESR4300
ES82425	EXP3727	ESR4264
ES82421	EXP3727	ESR4269
ES82421	EXP3727	ESR4427
ES82420	EXP3727	ESR4278
ES82444	EXP3727	ESR4222
ES82443	EXP3727	ESR4300
ES82440	EXP3727	ESR4278
ES82439	EXP3727	ESR4427
ES82437	EXP3727	ESR4243
ES82437	EXP3727	ESR4386
ES82453	EXP3727	ESR4300
ES82449	EXP3727	ESR4287
ES82448	EXP3727	ESR4242
ES82462	EXP3727	ESR4269
ES82459	EXP3727	ESR4429
ES82457	EXP3727	ESR4427
ES82455	EXP3727	ESR4269
ES82472	EXP3727	ESR4334
ES82472	EXP3727	ESR4335
ES82472	EXP3727	ESR4337
ES82471	EXP3727	ESR4269
ES82471	EXP3727	ESR4300
ES82471	EXP3727	ESR4454
ES82466	EXP3727	ESR4269
ES82475	EXP3727	ESR4269
ES82489	EXP3727	ESR4337
ES82484	EXP3727	ESR4278
ES82482	EXP3727	ESR4220
ES82498	EXP3727	ESR4335
ES82493	EXP3727	ESR4287
ES82506	EXP3727	ESR4269
ES82503	EXP3727	ESR4269
ES82502	EXP3727	ESR4269
ES82499	EXP3727	ESR4386
ES82513	EXP3727	ESR4315
ES82512	EXP3727	ESR4269
ES82508	EXP3727	ESR4269
ES82525	EXP3727	ESR4335
ES82522	EXP3727	ESR4431
ES82519	EXP3727	ESR4242
ES82534	EXP3727	ESR4336
ES82532	EXP3727	ESR4453
ES82531	EXP3727	ESR4278
ES82530	EXP3727	ESR4269
ES82530	EXP3727	ESR4289
ES82528	EXP3727	ESR4269
ES82527	EXP3727	ESR4315
ES82526	EXP3727	ESR4236
ES82526	EXP3727	ESR4243
ES82543	EXP3727	ESR4335
ES82542	EXP3727	ESR4454
ES82541	EXP3727	ESR4232
ES82540	EXP3727	ESR4278
ES82539	EXP3727	ESR4429
ES82537	EXP3727	ESR4427
ES82536	EXP3727	ESR4423
ES82550	EXP3727	ESR4264
ES82550	EXP3727	ESR4300
ES82550	EXP3727	ESR4453
ES82549	EXP3727	ESR4222
ES82549	EXP3727	ESR4431
ES82548	EXP3727	ESR4256
ES82546	EXP3727	ESR4256
ES82544	EXP3727	ESR4386
ES82560	EXP3727	ESR4222
ES82558	EXP3727	ESR4222
ES82558	EXP3727	ESR4431
ES82557	EXP3727	ESR4278
ES82557	EXP3727	ESR4289
ES82556	EXP3727	ESR4269
ES82556	EXP3727	ESR4278
ES82554	EXP3727	ESR4315
ES82553	EXP3727	ESR4236
ES82579	EXP3727	ESR4495
ES82577	EXP3727	ESR4225
ES82577	EXP3727	ESR4453
ES82576	EXP3727	ESR4222
ES82575	EXP3727	ESR4269
ES82575	EXP3727	ESR4289
ES82574	EXP3727	ESR4256
ES82572	EXP3727	ESR4219
ES82572	EXP3727	ESR4220
ES82570	EXP3727	ESR4336
ES82567	EXP3727	ESR4278
ES82566	EXP3727	ESR4256
ES82565	EXP3727	ESR4278
ES82563	EXP3727	ESR4220
ES82563	EXP3727	ESR4278
ES82563	EXP3727	ESR4315
ES82562	EXP3727	ESR4236
ES82562	EXP3727	ESR4386
ES82587	EXP3727	ESR4334
ES82586	EXP3727	ESR4454
ES82585	EXP3727	ESR4264
ES82596	EXP3727	ESR4337
ES82604	EXP3727	ESR4269
ES82601	EXP3727	ESR4269
ES82598	EXP3727	ESR4423
ES82613	EXP3727	ESR4269
ES82612	EXP3727	ESR4300
ES82611	EXP3727	ESR4222
ES82610	EXP3727	ESR4256
ES82609	EXP3727	ESR4428
ES82608	EXP3727	ESR4256
ES82607	EXP3727	ESR4278
ES82623	EXP3727	ESR4334
ES82623	EXP3727	ESR4335
ES82618	EXP3727	ESR4269
ES82617	EXP3727	ESR4278
ES82617	EXP3727	ESR4427
ES82616	EXP3727	ESR4278
ES82616	EXP3727	ESR4315
ES82615	EXP3727	ESR4243
ES82632	EXP3727	ESR4334
ES82631	EXP3727	ESR4454
ES82629	EXP3727	ESR4325
ES82627	EXP3727	ESR4256
ES82626	EXP3727	ESR4242
ES82625	EXP3727	ESR4278
ES82625	EXP3727	ESR4315
ES82625	EXP3727	ESR4423
ES82641	EXP3727	ESR4495
ES82640	EXP3727	ESR4222
ES82635	EXP3727	ESR4427
ES82633	EXP3727	ESR4386
ES82650	EXP3727	ESR4336
ES82647	EXP3727	ESR4431
ES82646	EXP3727	ESR4278
ES82646	EXP3727	ESR4429
ES82645	EXP3727	ESR4287
ES82644	EXP3727	ESR4269
ES82643	EXP3727	ESR4219
ES82655	EXP3727	ESR4269
ES82653	EXP3727	ESR4427
ES82652	EXP3727	ESR4219
ES82663	EXP3727	ESR4256
ES82662	EXP3727	ESR4256
ES82660	EXP3727	ESR4236
ES82686	EXP3727	ESR4495
ES82685	EXP3727	ESR4300
ES82684	EXP3727	ESR4232
ES82683	EXP3727	ESR4278
ES82681	EXP3727	ESR4256
ES82680	EXP3727	ESR4242
ES82680	EXP3727	ESR4278
ES82678	EXP3727	ESR4236
ES82678	EXP3727	ESR4386
ES82677	EXP3727	ESR4495
ES82676	EXP3727	ESR4222
ES82674	EXP3727	ESR4278
ES82674	EXP3727	ESR4315
ES82674	EXP3727	ESR4431
ES82672	EXP3727	ESR4269
