FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
133735	1	FSC-H	Forward Scatter				
133735	2	SSC-H	Side Scatter				
133735	3	FL1-H	Anti-HLA-DR FITC				
133735	4	FL2-H	PE CD123				
133735	5	FL3-H	PP CD3 14 19 56				
133735	6	FL4-H	APC CD11C				
130071	1	FSC-H	FSC				
130071	2	SSC-H	SSC				
130071	3	FL1-H	FITC CD14				
130071	4	FL2-H	PE CD23				
130071	5	FL3-H	PP CD3				
130071	6	FL4-H	APC CD19				
134929	1	FSC-H	FSC				
134929	2	SSC-H	SSC				
134929	3	FL1-H	FITC CD4				
134929	4	FL2-H	PE CCR3				
134929	5	FL3-H	PP CD8				
134929	6	FL4-H	APC CCR4				
127052	1	FSC-H	FSC				
127052	2	SSC-H	SSC				
127052	3	FL1-H	FITC CD4				
127052	4	FL2-H	PE CD25				
127052	5	FL3-H	PP CD3				
127052	6	FL4-H	APC CD161				
83026	1	FSC-H	FSC				
83026	2	SSC-H	SSC				
83026	3	FL1-H	FITC CD4				
83026	4	FL2-H	PE CD25				
83026	5	FL3-H	PP CD3				
83026	6	FL4-H	APC CD45RA				
135200	1	FSC-H	FSC				
135200	2	SSC-H	SSC				
135200	3	FL1-H	FITC CD4				
135200	4	FL2-H	PE CD25				
135200	5	FL3-H	PP CD3				
135200	6	FL4-H	APC CD45RO				
90885	1	FSC-H	FSC				
90885	2	SSC-H	SSC				
90885	3	FL1-H	FITC CD4				
90885	4	FL2-H	PE CXCR3				
90885	5	FL3-H	PP CD8				
90885	6	FL4-H	APC CCR5				
143630	1	FSC-H	FSC				
143630	2	SSC-H	SSC				
143630	3	FL1-H	FITC CD56				
143630	4	FL2-H	PE CXCR3				
143630	5	FL3-H	PP CD3				
143630	6	FL4-H	APC CCR5				
78194	1	FSC-H	FSC				
78194	2	SSC-H	SSC				
78194	3	FL1-H	AUTO1				
78194	4	FL2-H	AUTO2				
78194	5	FL3-H	AUTO3				
78194	6	FL4-H	AUTO4				
76742	1	FSC-H	Forward Scatter				
76742	2	SSC-H	Side Scatter				
76742	3	FL1-H	Anti-HLA-DR FITC				
76742	4	FL2-H	PE CD123				
76742	5	FL3-H	PP CD3 14 19 56				
76742	6	FL4-H	APC CD11C				
103146	1	FSC-H	FSC				
103146	2	SSC-H	SSC				
103146	3	FL1-H	FITC CD14				
103146	4	FL2-H	PE CD23				
103146	5	FL3-H	PP CD3				
103146	6	FL4-H	APC CD19				
86322	1	FSC-H	FSC				
86322	2	SSC-H	SSC				
86322	3	FL1-H	FITC CD4				
86322	4	FL2-H	PE CCR3				
86322	5	FL3-H	PP CD8				
86322	6	FL4-H	APC CCR4				
117652	1	FSC-H	FSC				
117652	2	SSC-H	SSC				
117652	3	FL1-H	FITC CD4				
117652	4	FL2-H	PE CD25				
117652	5	FL3-H	PP CD3				
117652	6	FL4-H	APC CD161				
150400	1	FSC-H	FSC				
150400	2	SSC-H	SSC				
150400	3	FL1-H	FITC CD4				
150400	4	FL2-H	PE CD25				
150400	5	FL3-H	PP CD3				
150400	6	FL4-H	APC CD45RA				
111688	1	FSC-H	FSC				
111688	2	SSC-H	SSC				
111688	3	FL1-H	FITC CD4				
111688	4	FL2-H	PE CD25				
111688	5	FL3-H	PP CD3				
111688	6	FL4-H	APC CD45RO				
124063	1	FSC-H	FSC				
124063	2	SSC-H	SSC				
124063	3	FL1-H	FITC CD4				
124063	4	FL2-H	PE CXCR3				
124063	5	FL3-H	PP CD8				
124063	6	FL4-H	APC CCR5				
131671	1	FSC-H	FSC				
131671	2	SSC-H	SSC				
131671	3	FL1-H	FITC CD56				
131671	4	FL2-H	PE CXCR3				
131671	5	FL3-H	PP CD3				
131671	6	FL4-H	APC CCR5				
99820	1	FSC-H	FSC				
99820	2	SSC-H	SSC				
99820	3	FL1-H	AUTO1				
99820	4	FL2-H	AUTO2				
99820	5	FL3-H	AUTO3				
99820	6	FL4-H	AUTO4				
109777	1	FSC-H	Forward Scatter				
109777	2	SSC-H	Side Scatter				
109777	3	FL1-H	Anti-HLA-DR FITC				
109777	4	FL2-H	PE CD123				
109777	5	FL3-H	PP CD3 14 19 56				
109777	6	FL4-H	APC CD11C				
121675	1	FSC-H	FSC				
121675	2	SSC-H	SSC				
121675	3	FL1-H	FITC CD14				
121675	4	FL2-H	PE CD23				
121675	5	FL3-H	PP CD3				
121675	6	FL4-H	APC CD19				
111428	1	FSC-H	FSC				
111428	2	SSC-H	SSC				
111428	3	FL1-H	FITC CD4				
111428	4	FL2-H	PE CCR3				
111428	5	FL3-H	PP CD8				
111428	6	FL4-H	APC CCR4				
93514	1	FSC-H	FSC				
93514	2	SSC-H	SSC				
93514	3	FL1-H	FITC CD4				
93514	4	FL2-H	PE CD25				
93514	5	FL3-H	PP CD3				
93514	6	FL4-H	APC CD161				
103379	1	FSC-H	FSC				
103379	2	SSC-H	SSC				
103379	3	FL1-H	FITC CD4				
103379	4	FL2-H	PE CD25				
103379	5	FL3-H	PP CD3				
103379	6	FL4-H	APC CD45RA				
136179	1	FSC-H	FSC				
136179	2	SSC-H	SSC				
136179	3	FL1-H	FITC CD4				
136179	4	FL2-H	PE CD25				
136179	5	FL3-H	PP CD3				
136179	6	FL4-H	APC CD45RO				
134800	1	FSC-H	FSC				
134800	2	SSC-H	SSC				
134800	3	FL1-H	FITC CD4				
134800	4	FL2-H	PE CXCR3				
134800	5	FL3-H	PP CD8				
134800	6	FL4-H	APC CCR5				
92625	1	FSC-H	FSC				
92625	2	SSC-H	SSC				
92625	3	FL1-H	FITC CD56				
92625	4	FL2-H	PE CXCR3				
92625	5	FL3-H	PP CD3				
92625	6	FL4-H	APC CCR5				
113574	1	FSC-H	FSC				
113574	2	SSC-H	SSC				
113574	3	FL1-H	AUTO1				
113574	4	FL2-H	AUTO2				
113574	5	FL3-H	AUTO3				
113574	6	FL4-H	AUTO4				
134165	1	FSC-H	Forward Scatter				
134165	2	SSC-H	Side Scatter				
134165	3	FL1-H	Anti-HLA-DR FITC				
134165	4	FL2-H	PE CD123				
134165	5	FL3-H	PP CD3 14 19 56				
134165	6	FL4-H	APC CD11C				
126283	1	FSC-H	FSC				
126283	2	SSC-H	SSC				
126283	3	FL1-H	FITC CD14				
126283	4	FL2-H	PE CD23				
126283	5	FL3-H	PP CD3				
126283	6	FL4-H	APC CD19				
93124	1	FSC-H	FSC				
93124	2	SSC-H	SSC				
93124	3	FL1-H	FITC CD4				
93124	4	FL2-H	PE CCR3				
93124	5	FL3-H	PP CD8				
93124	6	FL4-H	APC CCR4				
98318	1	FSC-H	FSC				
98318	2	SSC-H	SSC				
98318	3	FL1-H	FITC CD4				
98318	4	FL2-H	PE CD25				
98318	5	FL3-H	PP CD3				
98318	6	FL4-H	APC CD161				
93828	1	FSC-H	FSC				
93828	2	SSC-H	SSC				
93828	3	FL1-H	FITC CD4				
93828	4	FL2-H	PE CD25				
93828	5	FL3-H	PP CD3				
93828	6	FL4-H	APC CD45RA				
135714	1	FSC-H	FSC				
135714	2	SSC-H	SSC				
135714	3	FL1-H	FITC CD4				
135714	4	FL2-H	PE CD25				
135714	5	FL3-H	PP CD3				
135714	6	FL4-H	APC CD45RO				
90132	1	FSC-H	FSC				
90132	2	SSC-H	SSC				
90132	3	FL1-H	FITC CD4				
90132	4	FL2-H	PE CXCR3				
90132	5	FL3-H	PP CD8				
90132	6	FL4-H	APC CCR5				
104863	1	FSC-H	FSC				
104863	2	SSC-H	SSC				
104863	3	FL1-H	FITC CD56				
104863	4	FL2-H	PE CXCR3				
104863	5	FL3-H	PP CD3				
104863	6	FL4-H	APC CCR5				
123684	1	FSC-H	FSC				
123684	2	SSC-H	SSC				
123684	3	FL1-H	AUTO1				
123684	4	FL2-H	AUTO2				
123684	5	FL3-H	AUTO3				
123684	6	FL4-H	AUTO4				
120889	1	FSC-H	Forward Scatter				
120889	2	SSC-H	Side Scatter				
120889	3	FL1-H	Anti-HLA-DR FITC				
120889	4	FL2-H	PE CD123				
120889	5	FL3-H	PP CD3 14 19 56				
120889	6	FL4-H	APC CD11C				
111271	1	FSC-H	FSC				
111271	2	SSC-H	SSC				
111271	3	FL1-H	FITC CD14				
111271	4	FL2-H	PE CD23				
111271	5	FL3-H	PP CD3				
111271	6	FL4-H	APC CD19				
77265	1	FSC-H	FSC				
77265	2	SSC-H	SSC				
77265	3	FL1-H	FITC CD4				
77265	4	FL2-H	PE CCR3				
77265	5	FL3-H	PP CD8				
77265	6	FL4-H	APC CCR4				
142057	1	FSC-H	FSC				
142057	2	SSC-H	SSC				
142057	3	FL1-H	FITC CD4				
142057	4	FL2-H	PE CD25				
142057	5	FL3-H	PP CD3				
142057	6	FL4-H	APC CD161				
131282	1	FSC-H	FSC				
131282	2	SSC-H	SSC				
131282	3	FL1-H	FITC CD4				
131282	4	FL2-H	PE CD25				
131282	5	FL3-H	PP CD3				
131282	6	FL4-H	APC CD45RA				
104777	1	FSC-H	FSC				
104777	2	SSC-H	SSC				
104777	3	FL1-H	FITC CD4				
104777	4	FL2-H	PE CD25				
104777	5	FL3-H	PP CD3				
104777	6	FL4-H	APC CD45RO				
109761	1	FSC-H	FSC				
109761	2	SSC-H	SSC				
109761	3	FL1-H	FITC CD4				
109761	4	FL2-H	PE CXCR3				
109761	5	FL3-H	PP CD8				
109761	6	FL4-H	APC CCR5				
107395	1	FSC-H	FSC				
107395	2	SSC-H	SSC				
107395	3	FL1-H	FITC CD56				
107395	4	FL2-H	PE CXCR3				
107395	5	FL3-H	PP CD3				
107395	6	FL4-H	APC CCR5				
78447	1	FSC-H	FSC				
78447	2	SSC-H	SSC				
78447	3	FL1-H	AUTO1				
78447	4	FL2-H	AUTO2				
78447	5	FL3-H	AUTO3				
78447	6	FL4-H	AUTO4				
117135	1	FSC-H	Forward Scatter				
117135	2	SSC-H	Side Scatter				
117135	3	FL1-H	Anti-HLA-DR FITC				
