FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	PURPOSE	WORKSPACE_ID
45520	Flow cytometry result in fcs format	242048	04233221.001.fcs	Flow cytometry result	990
45521	Flow cytometry result in text format	472968	04233221.001.txt	Flow cytometry result	990
45522	Flow cytometry result in fcs format	242048	04233221.002.fcs	Flow cytometry result	990
45523	Flow cytometry result in text format	471583	04233221.002.txt	Flow cytometry result	990
45524	Flow cytometry result in fcs format	242048	04233221.003.fcs	Flow cytometry result	990
45525	Flow cytometry result in text format	470741	04233221.003.txt	Flow cytometry result	990
45526	Flow cytometry result in fcs format	242048	04233221.004.fcs	Flow cytometry result	990
45527	Flow cytometry result in text format	481335	04233221.004.txt	Flow cytometry result	990
45528	Flow cytometry result in fcs format	242048	04233221.005.fcs	Flow cytometry result	990
45529	Flow cytometry result in text format	470960	04233221.005.txt	Flow cytometry result	990
45530	Flow cytometry result in fcs format	242048	04233221.006.fcs	Flow cytometry result	990
45531	Flow cytometry result in text format	476231	04233221.006.txt	Flow cytometry result	990
45532	Flow cytometry result in fcs format	242048	04233221.007.fcs	Flow cytometry result	990
45533	Flow cytometry result in text format	474157	04233221.007.txt	Flow cytometry result	990
45534	Flow cytometry result in fcs format	242048	04233221.008.fcs	Flow cytometry result	990
45535	Flow cytometry result in text format	465249	04233221.008.txt	Flow cytometry result	990
45536	Flow cytometry result in fcs format	242048	04243101.001.fcs	Flow cytometry result	990
45537	Flow cytometry result in text format	471009	04243101.001.txt	Flow cytometry result	990
45538	Flow cytometry result in fcs format	242048	04243101.002.fcs	Flow cytometry result	990
45539	Flow cytometry result in text format	463450	04243101.002.txt	Flow cytometry result	990
45540	Flow cytometry result in fcs format	242048	04243101.003.fcs	Flow cytometry result	990
45541	Flow cytometry result in text format	462755	04243101.003.txt	Flow cytometry result	990
45542	Flow cytometry result in fcs format	242048	04243101.004.fcs	Flow cytometry result	990
45543	Flow cytometry result in text format	477032	04243101.004.txt	Flow cytometry result	990
45544	Flow cytometry result in fcs format	242048	04243101.005.fcs	Flow cytometry result	990
45545	Flow cytometry result in text format	467274	04243101.005.txt	Flow cytometry result	990
45546	Flow cytometry result in fcs format	242048	04243101.006.fcs	Flow cytometry result	990
45547	Flow cytometry result in text format	471039	04243101.006.txt	Flow cytometry result	990
45548	Flow cytometry result in fcs format	242048	04243101.007.fcs	Flow cytometry result	990
45549	Flow cytometry result in text format	467929	04243101.007.txt	Flow cytometry result	990
45550	Flow cytometry result in fcs format	242048	04243101.008.fcs	Flow cytometry result	990
45551	Flow cytometry result in text format	453721	04243101.008.txt	Flow cytometry result	990
45552	Flow cytometry result in fcs format	242048	04243181.002.fcs	Flow cytometry result	990
45553	Flow cytometry result in text format	468636	04243181.002.txt	Flow cytometry result	990
45554	Flow cytometry result in fcs format	242048	04243181.003.fcs	Flow cytometry result	990
45555	Flow cytometry result in text format	467115	04243181.003.txt	Flow cytometry result	990
45556	Flow cytometry result in fcs format	242048	04243181.005.fcs	Flow cytometry result	990
45557	Flow cytometry result in text format	468911	04243181.005.txt	Flow cytometry result	990
45558	Flow cytometry result in fcs format	242048	04243181.007.fcs	Flow cytometry result	990
45559	Flow cytometry result in text format	471620	04243181.007.txt	Flow cytometry result	990
45560	Flow cytometry result in fcs format	242048	04243181.008.fcs	Flow cytometry result	990
45561	Flow cytometry result in text format	461286	04243181.008.txt	Flow cytometry result	990
45562	Flow cytometry result in fcs format	242048	04253241.001.fcs	Flow cytometry result	990
45563	Flow cytometry result in text format	470134	04253241.001.txt	Flow cytometry result	990
45564	Flow cytometry result in fcs format	242048	04253241.002.fcs	Flow cytometry result	990
45565	Flow cytometry result in text format	464417	04253241.002.txt	Flow cytometry result	990
45566	Flow cytometry result in fcs format	242048	04253241.003.fcs	Flow cytometry result	990
45567	Flow cytometry result in text format	461346	04253241.003.txt	Flow cytometry result	990
45568	Flow cytometry result in fcs format	242048	04253241.004.fcs	Flow cytometry result	990
45569	Flow cytometry result in text format	470805	04253241.004.txt	Flow cytometry result	990
45570	Flow cytometry result in fcs format	242048	04253241.005.fcs	Flow cytometry result	990
45571	Flow cytometry result in text format	460854	04253241.005.txt	Flow cytometry result	990
45572	Flow cytometry result in fcs format	242048	04253241.006.fcs	Flow cytometry result	990
45573	Flow cytometry result in text format	471080	04253241.006.txt	Flow cytometry result	990
45574	Flow cytometry result in fcs format	242048	04253241.007.fcs	Flow cytometry result	990
45575	Flow cytometry result in text format	467568	04253241.007.txt	Flow cytometry result	990
45576	Flow cytometry result in fcs format	242048	04253241.008.fcs	Flow cytometry result	990
45577	Flow cytometry result in text format	452319	04253241.008.txt	Flow cytometry result	990
45578	Flow cytometry result in fcs format	242048	04253261.001.fcs	Flow cytometry result	990
45579	Flow cytometry result in text format	476043	04253261.001.txt	Flow cytometry result	990
45580	Flow cytometry result in fcs format	242048	04253261.002.fcs	Flow cytometry result	990
45581	Flow cytometry result in text format	470089	04253261.002.txt	Flow cytometry result	990
45582	Flow cytometry result in fcs format	242048	04253261.003.fcs	Flow cytometry result	990
45583	Flow cytometry result in text format	470864	04253261.003.txt	Flow cytometry result	990
45584	Flow cytometry result in fcs format	242048	04253261.004.fcs	Flow cytometry result	990
45585	Flow cytometry result in text format	480026	04253261.004.txt	Flow cytometry result	990
45586	Flow cytometry result in fcs format	242048	04253261.005.fcs	Flow cytometry result	990
45587	Flow cytometry result in text format	470449	04253261.005.txt	Flow cytometry result	990
45588	Flow cytometry result in fcs format	242048	04253261.006.fcs	Flow cytometry result	990
45589	Flow cytometry result in text format	476919	04253261.006.txt	Flow cytometry result	990
45590	Flow cytometry result in fcs format	242048	04253261.007.fcs	Flow cytometry result	990
45591	Flow cytometry result in text format	475423	04253261.007.txt	Flow cytometry result	990
45592	Flow cytometry result in fcs format	242048	04253261.008.fcs	Flow cytometry result	990
45593	Flow cytometry result in text format	464892	04253261.008.txt	Flow cytometry result	990
45594	Flow cytometry result in fcs format	242048	04253281.001.fcs	Flow cytometry result	990
45595	Flow cytometry result in text format	475098	04253281.001.txt	Flow cytometry result	990
45596	Flow cytometry result in fcs format	242048	04253281.002.fcs	Flow cytometry result	990
45597	Flow cytometry result in text format	466623	04253281.002.txt	Flow cytometry result	990
45598	Flow cytometry result in fcs format	242048	04253281.003.fcs	Flow cytometry result	990
45599	Flow cytometry result in text format	463270	04253281.003.txt	Flow cytometry result	990
45600	Flow cytometry result in fcs format	242048	04253281.004.fcs	Flow cytometry result	990
45601	Flow cytometry result in text format	477933	04253281.004.txt	Flow cytometry result	990
45602	Flow cytometry result in fcs format	242048	04253281.005.fcs	Flow cytometry result	990
45603	Flow cytometry result in text format	468983	04253281.005.txt	Flow cytometry result	990
45604	Flow cytometry result in fcs format	242048	04253281.006.fcs	Flow cytometry result	990
45605	Flow cytometry result in text format	474763	04253281.006.txt	Flow cytometry result	990
45606	Flow cytometry result in fcs format	242048	04253281.007.fcs	Flow cytometry result	990
45607	Flow cytometry result in text format	471520	04253281.007.txt	Flow cytometry result	990
45608	Flow cytometry result in fcs format	242048	04253281.008.fcs	Flow cytometry result	990
45609	Flow cytometry result in text format	455005	04253281.008.txt	Flow cytometry result	990
45610	Flow cytometry result in fcs format	242048	04253301.001.fcs	Flow cytometry result	990
45611	Flow cytometry result in text format	475745	04253301.001.txt	Flow cytometry result	990
45612	Flow cytometry result in fcs format	242048	04253301.002.fcs	Flow cytometry result	990
45613	Flow cytometry result in text format	466988	04253301.002.txt	Flow cytometry result	990
45614	Flow cytometry result in fcs format	242048	04253301.003.fcs	Flow cytometry result	990
45615	Flow cytometry result in text format	465621	04253301.003.txt	Flow cytometry result	990
45616	Flow cytometry result in fcs format	242048	04253301.004.fcs	Flow cytometry result	990
45617	Flow cytometry result in text format	479831	04253301.004.txt	Flow cytometry result	990
45618	Flow cytometry result in fcs format	242048	04253301.005.fcs	Flow cytometry result	990
45619	Flow cytometry result in text format	472382	04253301.005.txt	Flow cytometry result	990
45620	Flow cytometry result in fcs format	242048	04253301.006.fcs	Flow cytometry result	990
45621	Flow cytometry result in text format	475482	04253301.006.txt	Flow cytometry result	990
45622	Flow cytometry result in fcs format	242048	04253301.007.fcs	Flow cytometry result	990
45623	Flow cytometry result in text format	477340	04253301.007.txt	Flow cytometry result	990
45624	Flow cytometry result in fcs format	242048	04253301.008.fcs	Flow cytometry result	990
45625	Flow cytometry result in text format	458055	04253301.008.txt	Flow cytometry result	990
45626	Flow cytometry result in fcs format	242048	04253321.001.fcs	Flow cytometry result	990
45627	Flow cytometry result in text format	476207	04253321.001.txt	Flow cytometry result	990
45628	Flow cytometry result in fcs format	242048	04253321.002.fcs	Flow cytometry result	990
45629	Flow cytometry result in text format	476575	04253321.002.txt	Flow cytometry result	990
45630	Flow cytometry result in fcs format	242048	04253321.003.fcs	Flow cytometry result	990
45631	Flow cytometry result in text format	469519	04253321.003.txt	Flow cytometry result	990
45632	Flow cytometry result in fcs format	242048	04253321.004.fcs	Flow cytometry result	990
45633	Flow cytometry result in text format	480876	04253321.004.txt	Flow cytometry result	990
45634	Flow cytometry result in fcs format	242048	04253321.005.fcs	Flow cytometry result	990
45635	Flow cytometry result in text format	476993	04253321.005.txt	Flow cytometry result	990
45636	Flow cytometry result in fcs format	242048	04253321.006.fcs	Flow cytometry result	990
45637	Flow cytometry result in text format	475301	04253321.006.txt	Flow cytometry result	990
45638	Flow cytometry result in fcs format	242048	04253321.007.fcs	Flow cytometry result	990
45639	Flow cytometry result in text format	473491	04253321.007.txt	Flow cytometry result	990
45640	Flow cytometry result in fcs format	242048	04253321.008.fcs	Flow cytometry result	990
45641	Flow cytometry result in text format	473530	04253321.008.txt	Flow cytometry result	990
45642	Flow cytometry result in fcs format	242048	04253341.002.fcs	Flow cytometry result	990
