PLANNED_VISIT_ACCESSION	END_RULE	MAX_START_DAY	MIN_START_DAY	ORDER_NUMBER	PERIOD_ACCESSION	START_RULE	STUDY_ACCESSION	VISIT_NAME	WORKSPACE_ID
PV67		1	1	3	P5		SDY1	SDY1.Visit_0.Screening.Week_-11.Protocol Day_-77.Plan Visit Min Day_1.Plan Visit Max Day_1	990
PV72		66	60	8	P4		SDY1	SDY1.Visit_4.RIT.Week_0.Protocol Day_0.Plan Visit Min Day_60.Plan Visit Max Day_68	990
PV77		101	95	13	P3		SDY1	SDY1.Visit_9.Omalizumab/Placebo+Immunotherapy/Placebo.Week_5.Protocol Day_35.Plan Visit Min Day_95.Plan Visit Max Day_103	990
PV88		383	375	24	P2		SDY1	SDY1.Visit_20.Follow-up (2003 ragweed season).Week_43.Protocol Day_301.Plan Visit Min Day_375.Plan Visit Max Day_383	990
PV91		495	487	27	P1		SDY1	SDY1.Visit_23.Extended Follow-up (2004 ragweed season).Week_59.Protocol Day_413.Plan Visit Min Day_487.Plan Visit Max Day_495	990
PV69		33	25	5	P5		SDY1	SDY1.Visit_1.Omalizumab Pre-treatment.Week_-9.Protocol Day_-63.Plan Visit Min Day_25.Plan Visit Max Day_33	990
PV87		299	291	23	P2		SDY1	SDY1.Visit_19.Follow-up (2003 ragweed season).Week_31.Protocol Day_217.Plan Visit Min Day_291.Plan Visit Max Day_299	990
PV73		73	67	9	P3		SDY1	SDY1.Visit_5.Omalizumab/Placebo+Immunotherapy/Placebo.Week_1.Protocol Day_7.Plan Visit Min Day_67.Plan Visit Max Day_75	990
PV86		211	193	22	P2		SDY1	SDY1.Visit_18.Follow-up (2003 ragweed season).Week_19.Protocol Day_133.Plan Visit Min Day_193.Plan Visit Max Day_211	990
PV89		467	459	25	P1		SDY1	SDY1.Visit_21.Extended Follow-up (2004 ragweed season).Week_55.Protocol Day_385.Plan Visit Min Day_459.Plan Visit Max Day_467	990
PV66		-1	-18	2	P6		SDY1	SDY1.Visit_-1.Screening.Week_-10.Protocol Day_-70.Plan Visit Min Day_-18.Plan Visit Max Day_-1	990
