PLANNED_VISIT_ACCESSION	ARM_ACCESSION
PV65	ARM1
PV65	ARM2
PV65	ARM3
PV65	ARM4
PV66	ARM1
PV66	ARM2
PV66	ARM3
PV66	ARM4
PV67	ARM1
PV67	ARM2
PV67	ARM3
PV67	ARM4
PV68	ARM1
PV68	ARM2
PV68	ARM3
PV68	ARM4
PV69	ARM1
PV69	ARM2
PV69	ARM3
PV69	ARM4
PV70	ARM1
PV70	ARM2
PV70	ARM3
PV70	ARM4
PV71	ARM1
PV71	ARM2
PV71	ARM3
PV71	ARM4
PV72	ARM1
PV72	ARM2
PV72	ARM3
PV72	ARM4
PV73	ARM1
PV73	ARM2
PV73	ARM3
PV73	ARM4
PV74	ARM1
PV74	ARM2
PV74	ARM3
PV74	ARM4
PV75	ARM1
PV75	ARM2
PV75	ARM3
PV75	ARM4
PV76	ARM1
PV76	ARM2
PV76	ARM3
PV76	ARM4
PV77	ARM1
PV77	ARM2
PV77	ARM3
PV77	ARM4
PV78	ARM1
PV78	ARM2
PV78	ARM3
PV78	ARM4
PV79	ARM1
PV79	ARM2
PV79	ARM3
PV79	ARM4
PV80	ARM1
PV80	ARM2
PV80	ARM3
PV80	ARM4
PV81	ARM1
PV81	ARM2
PV81	ARM3
PV81	ARM4
PV82	ARM1
PV82	ARM2
PV82	ARM3
PV82	ARM4
PV83	ARM1
PV83	ARM2
PV83	ARM3
PV83	ARM4
PV84	ARM1
PV84	ARM2
PV84	ARM3
PV84	ARM4
PV85	ARM1
PV85	ARM2
PV85	ARM3
PV85	ARM4
PV86	ARM1
PV86	ARM2
PV86	ARM3
PV86	ARM4
PV87	ARM1
PV87	ARM2
PV87	ARM3
PV87	ARM4
PV88	ARM1
PV88	ARM2
PV88	ARM3
PV88	ARM4
PV89	ARM1
PV89	ARM2
PV89	ARM3
PV89	ARM4
PV90	ARM1
PV90	ARM2
PV90	ARM3
PV90	ARM4
PV91	ARM1
PV91	ARM2
PV91	ARM3
PV91	ARM4
PV92	ARM1
PV92	ARM2
PV92	ARM3
PV92	ARM4
PV93	ARM1
PV93	ARM2
PV93	ARM3
PV93	ARM4
PV94	ARM1
PV94	ARM2
PV94	ARM3
PV94	ARM4
PV95	ARM1
PV95	ARM2
PV95	ARM3
PV95	ARM4
PV96	ARM1
PV96	ARM2
PV96	ARM3
PV96	ARM4
