REAGENT_ACCESSION	ANALYTE_REPORTED	ANALYTE_REPORTED_DESCRIPTION	ANALYTE_PREFERRED	ANALYTE_PREFERRED_TERM_ID	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	DESCRIPTION	DETECTOR_NAME	IS_SET	LOT_NUMBER	NAME	MANUFACTURER	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR4264	CD3,14,19					N/A		anti-CD3,14,19	N			N/A	PerCP			990
ESR4427						N/A			Y			N/A				990
ESR4219	CCR3					N/A		anti-CCR3	N			N/A	PE			990
ESR4220	CCR4					N/A		anti-CCR4	N			N/A	APC			990
ESR4265	CD3,56,19,14					N/A		anti-CD3,56,19,14	N			N/A	PerCP			990
ESR4336	FL-3					N/A		anti-FL-3	N			N/A	PerCP			990
ESR4278	CD4					N/A		anti-CD4	N			N/A	FITC			990
ESR4431						N/A			Y			N/A				990
ESR4243	CD19					N/A		anti-CD19	N			N/A	APC			990
ESR4341	HLADR					N/A		anti-HLADR	N			N/A	FITC			990
ESR4538	IgG4					N/A	N/A		N	N/A	N/A	N/A				990
ESR4534	IgE-a					N/A	N/A		N	N/A	N/A	N/A				990
ESR4337	FL-4					N/A		anti-FL-4	N			N/A	APC			990
ESR4242	CD161					N/A		anti-CD161	N			N/A	APC			990
ESR4497						N/A			Y			N/A				990
ESR4300	CD56					N/A		anti-CD56	N			N/A	FITC			990
ESR4325	CXCR3					N/A		anti-CXCR3	N			N/A	PE			990
ESR4256	CD25					N/A		anti-CD25	N			N/A	PE			990
ESR4428						N/A			Y			N/A				990
ESR4532	Free IGE					N/A	N/A		N	N/A	N/A	N/A				990
ESR4533	IgE-a					N/A	N/A		N	N/A	N/A	N/A				990
ESR4335	FL-2					N/A		anti-FL-2	N			N/A	PE			990
ESR4289	CD45RO					N/A		anti-CD45RO	N			N/A	APC			990
ESR4423						N/A			Y			N/A				990
ESR4253	CD23					N/A		anti-CD23	N			N/A	PE			990
ESR4386						N/A			Y			N/A				990
ESR4537	IgG1					N/A	N/A		N	N/A	N/A	N/A				990
ESR4334	FL-1					N/A		anti-FL-1	N			N/A	FITC			990
ESR4454						N/A			Y			N/A				990
ESR4225	CD11C					N/A		anti-CD11C	N			N/A	APC			990
ESR4453						N/A			Y			N/A				990
ESR4287	CD45RA					N/A		anti-CD45RA	N			N/A	APC			990
ESR4536	IgG-a					N/A	N/A		N	N/A	N/A	N/A				990
ESR4495						N/A			Y			N/A				990
ESR4269	CD3					N/A		anti-CD3	N			N/A	PerCP			990
ESR4315	CD8					N/A		anti-CD8	N			N/A	PerCP			990
ESR4429						N/A			Y			N/A				990
ESR4222	CCR5					N/A		anti-CCR5	N			N/A	APC			990
ESR4232	CD123					N/A		anti-CD123	N			N/A	PE			990
ESR4236	CD14					N/A		anti-CD14	N			N/A	FITC			990
ESR4539	IgM					N/A	N/A		N	N/A	N/A	N/A				990
ESR4535	IgG-a					N/A	N/A		N	N/A	N/A	N/A				990
