REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR4453	ESR4300	990
ESR4433	ESR4278	990
ESR4424	ESR4278	990
ESR4375	ESR4315	990
ESR4468	ESR4315	990
ESR4467	ESR4315	990
ESR4443	ESR4315	990
ESR4465	ESR4256	990
ESR4464	ESR4256	990
ESR4426	ESR4256	990
ESR4467	ESR4289	990
ESR4429	ESR4289	990
ESR4399	ESR4220	990
ESR4377	ESR4265	990
ESR4501	ESR4265	990
ESR4495	ESR4335	990
ESR4432	ESR4325	990
ESR4453	ESR4264	990
ESR4430	ESR4278	990
ESR4400	ESR4315	990
ESR4508	ESR4315	990
ESR4472	ESR4315	990
ESR4461	ESR4315	990
ESR4407	ESR4315	990
ESR4466	ESR4256	990
ESR4463	ESR4256	990
ESR4446	ESR4289	990
ESR4445	ESR4289	990
ESR4428	ESR4287	990
ESR4419	ESR4287	990
ESR4398	ESR4219	990
ESR4388	ESR4236	990
ESR4384	ESR4265	990
ESR4501	ESR4341	990
ESR4497	ESR4341	990
ESR4428	ESR4278	990
ESR4401	ESR4315	990
ESR4509	ESR4315	990
ESR4507	ESR4315	990
ESR4466	ESR4315	990
ESR4458	ESR4315	990
ESR4455	ESR4315	990
ESR4442	ESR4315	990
ESR4475	ESR4256	990
ESR4399	ESR4219	990
ESR4398	ESR4220	990
ESR4424	ESR4220	990
ESR4423	ESR4220	990
ESR4482	ESR4243	990
ESR4380	ESR4265	990
ESR4495	ESR4336	990
ESR4386	ESR4269	990
ESR4429	ESR4269	990
ESR4427	ESR4269	990
ESR4402	ESR4325	990
ESR4497	ESR4232	990
ESR4426	ESR4278	990
ESR4423	ESR4278	990
ESR4403	ESR4315	990
ESR4372	ESR4315	990
ESR4516	ESR4315	990
ESR4515	ESR4315	990
ESR4514	ESR4315	990
ESR4450	ESR4315	990
ESR4448	ESR4315	990
ESR4446	ESR4315	990
ESR4467	ESR4256	990
ESR4414	ESR4256	990
ESR4424	ESR4219	990
ESR4497	ESR4265	990
ESR4488	ESR4265	990
ESR4418	ESR4265	990
ESR4495	ESR4334	990
ESR4403	ESR4222	990
ESR4428	ESR4269	990
ESR4384	ESR4225	990
ESR4502	ESR4225	990
ESR4427	ESR4278	990
ESR4405	ESR4315	990
ESR4399	ESR4315	990
ESR4478	ESR4256	990
ESR4430	ESR4256	990
ESR4400	ESR4289	990
ESR4498	ESR4289	990
ESR4386	ESR4243	990
ESR4386	ESR4253	990
ESR4502	ESR4265	990
ESR4502	ESR4341	990
ESR4495	ESR4337	990
ESR4430	ESR4269	990
ESR4454	ESR4325	990
ESR4488	ESR4225	990
ESR4425	ESR4278	990
ESR4462	ESR4315	990
ESR4460	ESR4315	990
ESR4424	ESR4315	990
ESR4416	ESR4315	990
ESR4476	ESR4256	990
ESR4427	ESR4256	990
ESR4423	ESR4219	990
ESR4391	ESR4236	990
ESR4387	ESR4236	990
ESR4381	ESR4265	990
ESR4379	ESR4265	990
ESR4491	ESR4265	990
ESR4499	ESR4341	990
ESR4498	ESR4341	990
ESR4431	ESR4222	990
ESR4454	ESR4269	990
ESR4403	ESR4325	990
ESR4432	ESR4278	990
ESR4429	ESR4278	990
ESR4371	ESR4315	990
ESR4471	ESR4315	990
ESR4459	ESR4315	990
ESR4452	ESR4315	990
ESR4431	ESR4315	990
ESR4425	ESR4315	990
ESR4423	ESR4315	990
ESR4498	ESR4256	990
ESR4468	ESR4256	990
ESR4428	ESR4256	990
ESR4401	ESR4289	990
ESR4390	ESR4236	990
ESR4386	ESR4236	990
ESR4382	ESR4265	990
ESR4402	ESR4222	990
ESR4454	ESR4222	990
ESR4432	ESR4222	990
ESR4454	ESR4300	990
ESR4431	ESR4325	990
ESR4501	ESR4225	990
ESR4497	ESR4225	990
ESR4453	ESR4225	990
ESR4453	ESR4232	990
ESR4431	ESR4278	990
ESR4506	ESR4315	990
ESR4444	ESR4315	990
ESR4432	ESR4315	990
ESR4415	ESR4315	990
ESR4477	ESR4256	990
ESR4429	ESR4256	990
ESR4427	ESR4242	990
ESR4389	ESR4236	990
ESR4378	ESR4265	990
ESR4500	ESR4341	990
