SUBJECT_ACCESSION	PROTOCOL_ACCESSION
SUB73374	PTL2331
SUB73392	PTL2331
SUB73409	PTL2331
SUB73471	PTL2331
SUB73476	PTL2331
SUB73518	PTL2331
SUB73396	PTL2331
SUB73399	PTL2331
SUB73404	PTL2331
SUB73455	PTL2331
SUB73474	PTL2331
SUB73488	PTL2331
SUB73371	PTL2331
SUB73402	PTL2331
SUB73445	PTL2331
SUB73475	PTL2331
SUB73480	PTL2331
SUB73496	PTL2331
SUB73510	PTL2331
SUB73389	PTL2331
SUB73454	PTL2331
SUB73460	PTL2331
SUB73473	PTL2331
SUB73520	PTL2331
SUB73413	PTL2331
SUB73422	PTL2331
SUB73428	PTL2331
SUB73447	PTL2331
SUB73459	PTL2331
SUB73461	PTL2331
SUB73386	PTL2331
SUB73432	PTL2331
SUB73434	PTL2331
SUB73479	PTL2331
SUB73491	PTL2331
SUB73497	PTL2331
SUB73517	PTL2331
SUB73393	PTL2331
SUB73405	PTL2331
SUB73418	PTL2331
SUB73437	PTL2331
SUB73444	PTL2331
SUB73463	PTL2331
SUB73370	PTL2331
SUB73390	PTL2331
SUB73401	PTL2331
SUB73429	PTL2331
SUB73441	PTL2331
SUB73469	PTL2331
SUB73514	PTL2331
SUB73524	PTL2331
SUB73448	PTL2331
SUB73367	PTL2331
SUB73394	PTL2331
SUB73415	PTL2331
SUB73438	PTL2331
SUB73442	PTL2331
SUB73464	PTL2331
SUB73495	PTL2331
SUB73506	PTL2331
SUB73513	PTL2331
SUB73366	PTL2331
SUB73383	PTL2331
SUB73388	PTL2331
SUB73467	PTL2331
SUB73523	PTL2331
SUB73373	PTL2331
SUB73403	PTL2331
SUB73423	PTL2331
SUB73485	PTL2331
SUB73509	PTL2331
SUB73416	PTL2331
SUB73431	PTL2331
SUB73452	PTL2331
SUB73490	PTL2331
SUB73492	PTL2331
SUB73502	PTL2331
SUB73504	PTL2331
SUB73515	PTL2331
SUB73368	PTL2331
SUB73424	PTL2331
SUB73466	PTL2331
SUB73519	PTL2331
SUB73439	PTL2331
SUB73456	PTL2331
SUB73486	PTL2331
SUB73501	PTL2331
SUB73411	PTL2331
SUB73516	PTL2331
SUB73369	PTL2331
SUB73372	PTL2331
SUB73481	PTL2331
SUB73385	PTL2331
SUB73446	PTL2331
SUB73470	PTL2331
SUB73512	PTL2331
SUB73407	PTL2331
SUB73426	PTL2331
SUB73451	PTL2331
SUB73465	PTL2331
SUB73489	PTL2331
SUB73511	PTL2331
SUB73522	PTL2331
SUB73377	PTL2331
SUB73397	PTL2331
SUB73433	PTL2331
SUB73435	PTL2331
SUB73458	PTL2331
SUB73477	PTL2331
SUB73478	PTL2331
SUB73484	PTL2331
SUB73498	PTL2331
SUB73505	PTL2331
SUB73381	PTL2331
SUB73387	PTL2331
SUB73421	PTL2331
SUB73450	PTL2331
SUB73472	PTL2331
SUB73487	PTL2331
SUB73493	PTL2331
SUB73379	PTL2331
SUB73412	PTL2331
SUB73414	PTL2331
SUB73427	PTL2331
SUB73494	PTL2331
SUB73384	PTL2331
SUB73410	PTL2331
SUB73453	PTL2331
SUB73436	PTL2331
SUB73440	PTL2331
SUB73483	PTL2331
SUB73508	PTL2331
SUB73521	PTL2331
SUB73462	PTL2331
SUB73500	PTL2331
SUB73375	PTL2331
SUB73408	PTL2331
SUB73417	PTL2331
SUB73430	PTL2331
SUB73507	PTL2331
SUB73420	PTL2331
SUB73449	PTL2331
SUB73499	PTL2331
SUB73503	PTL2331
SUB73382	PTL2331
SUB73395	PTL2331
SUB73398	PTL2331
SUB73400	PTL2331
SUB73376	PTL2331
SUB73406	PTL2331
SUB73425	PTL2331
SUB73457	PTL2331
SUB73482	PTL2331
SUB73380	PTL2331
SUB73391	PTL2331
SUB73468	PTL2331
SUB73378	PTL2331
SUB73419	PTL2331
SUB73443	PTL2331
