SUBJECT_MEASURE_ACCESSION	ALGORITHM	CATEGORY_TITLE	DESCRIPTION	MEASUREOFCENTRALTENDENCY	MEASUREOFDISPERSION	MEASURETYPE	OUTCOMETYPE	STUDY_ACCESSION	TIMEFRAME	TITLE	UNITOFMEASURE	WORKSPACE_ID
SMD430	DLYAMINT = the mean of all ZDISYM3 where AMPM = AM		Average of the AM ITCHY THROAT SYMPTOM SCORE 			Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season AM ITCHY THROAT SYMPTOM SCORE (DLYAMINT)		990
SMD433	DLYPMSNZ = the mean of all ZDISYM1 where AMPM = PM		Average of the PM SNEEZING SYMPTOM SCORE  	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season PM SNEEZING SYMPTOM SCORE (DLYPMSNZ)		990
SMD347	BASSNZAM = the mean of ZDISYM1 where AMPM = AM		Average of the AM SNEEZING SYMPTOM SCORE  before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	AM SNEEZING BASE SCORE (BASSNZAM)		990
SMD366	DLYPMSEV = mean of all ZDISYM1 – ZDISYM5   where AMPM = PM		Average of the AM ALLERGY SEVERITY SCORE 	Mean		Continuous	Secondary Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season PM ALLERGY SEVERITY SCORE (DLYPMSEV )		990
SMD369	DLYAMINT = the mean of all ZDISYM3 		Average of the DAILY ITCHY THROAT SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season DAILY ITCHY THROAT SYMPTOM SCORE (DLYAMINT )		990
SMD373	DLYAMRRN = the mean of all ZDISYM2 where AMPM = AM		Average of the AM RHINORRHEA SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season AM RHINORRHEA SYMPTOM SCORE (DLYAMRRN)		990
SMD386	CAPDAYP = CAPSULP/SRWSDAYS		Number of rescue medication taken per day in PM during the severe ragweed season	Mean		Number	Secondary Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season RESCUE MEDS USED PER DAY - PM (CAPDAYP) 		990
SMD402	DLYIWE = the mean of all ZDISYM4		The mean of all the DAILY ITCHY EYES SCORE during all the study days in a year	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	During all the study days in a year	DAILY ITCHY EYES SCORE (DLYIWE)		990
SMD411	SRWSDAYS = (the latest PLNDT where SRWSEAS = 1) – (the earliest PLNDT where SRWSEAS = 1) + 1, in days		Number of study days in the severe ragweed season			Category	Other Pre-specified Outcome Measure	SDY1	During all the study days in a year	NUM SERIOUS RAGWEED SEASON DAYS (SRWSDAYS)	day	990
SMD440	CAPDAYT = CAPSULT/PRWSDAYS		Number of rescue medication taken per day during the primary ragweed season	Mean		Number	Secondary Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season RESCUE MEDS USED PER DAY (CAPDAYT)		990
SMD442	CAPDAYP = CAPSULP/PRWSDAYS		Number of rescue medication taken per day in PM during the primary ragweed season	Mean		Number	Secondary Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season RESCUE MEDS USED PER DAY - PM (CAPDAYP) 		990
SMD448	LBCFB where LBTEST = BANDS		LAB CHANGE FROM BASELINE (BANDS)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (BANDS)	%	990
SMD458	LBCFB where LBTEST = WBC		LAB CHANGE FROM BASELINE (WBC)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (WBC)	10*3 cells/uL	990
SMD461	LBCFB where LBTEST = MCV		LAB CHANGE FROM BASELINE (MCV)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (MCV)	um*3	990
SMD435	DLYPMINT = the mean of all ZDISYM3 where AMPM = PM		Average of the PM ITCHY THROAT SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season PM ITCHY THROAT SYMPTOM SCORE (DLYPMINT)		990
SMD343	BASRRND = the mean of ZDISYM2		Average of the DAILY RHINORRHEA SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	DAILY RHINORRHEA BASE SCORE (BASRRND)		990
SMD357	MINDAYS = number of unique DIDT on DIRY2 where 1. mean(ZDISYM1, ZDISYM2, ZDISYM3, ZDISYM4, ZDISYM5) < 0.5 where AMPM = AM;  2. mean(ZDISYM1, ZDISYM2, ZDISYM3, ZDISYM4, ZDISYM5) < 0.5 where AMPM = PM; 3. ZCAPSUL = 0 or missing where AMPM = AM; and 4. ZCAPSUL = 0 or missing where AMPM = PM		Number of days patient showed symptom	Mean		Number	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season NUMBER OF MIN SYMPTOM DAYS (MINDAYS)	day	990
SMD372	DLYAMSNZ = the mean of all ZDISYM1 where AMPM = AM		Average of the AM SNEEZING SYMPTOM SCORE  	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season AM SNEEZING SYMPTOM SCORE (DLYAMSNZ )		990
SMD387	RMEDDAYT = RMEDST/SRWSDAYS		Proportion of days that rescue medication was taken during the severe ragweed season	Mean		Number	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season PROP OF DAYS OF RESCUE MEDS (RMEDDAYT)		990
SMD392	DLYPMSEV = mean of all ZDISYM1 - ZDISYM5 where AMPM = PM		The mean of all DAILY PM SEVERITY SCORE during all the study days in a year	Mean		Continuous	Secondary Outcome Measure	SDY1	During all the study days in PM in a year	DAILY PM SEVERITY SCORE (DLYPMSEV)		990
SMD393	DLYSNZ = the mean of all ZDISYM1		The mean of all DAILY SNEEZING SCORE during all the study days in a year	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	During all the study days in a year	DAILY SNEEZING SCORE (DLYSNZ)		990
SMD398	DLYPMRRN = the mean of all ZDISYM2 where AMPM = PM		The mean of all the DAILY PM RHINORRHEA SCORE during all the study days in a year	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	During all the study days in PM in a year	DAILY PM RHINORRHEA SCORE (DLYPMRRN)		990
SMD404	DLYPMIWE = the mean of all ZDISYM4 where AMPM = PM		The mean of all the DAILY PM ITCHY EYES SCORE during all the study days in a year	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	During all the study days in PM in a year	DAILY PM ITCHY EYES SCORE (DLYPMIWE)		990
SMD438	For each INVID and PLNDTY, compute the following: PRWSDAYS = (the latest PLNDT where PRWSEAS = 1) – (the earliest PLNDT where PRWSEAS = 1) + 1, in days		Total number of primary ragweed season days (if ragweed pollen count >= 10 for two consecutive days)	Mean		Number	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season NUM SERIOUS RAGWEED SEASON DAYS (PRWSDAYS)		990
SMD451	LBCFB where LBTEST = HEMATOCRIT		LAB CHANGE FROM BASELINE (HEMATOCRIT)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (HEMATOCRIT)	%	990
SMD455	LBCFB where LBTEST = MONOCYTES		LAB CHANGE FROM BASELINE (MONOCYTES)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (MONOCYTES)	%	990
SMD342	BASSNZD = the mean of ZDISYM1		Average of the DAILY SNEEZING SYMPTOM SCORE  before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	DAILY SNEEZING BASE SCORE (BASSNZD) 		990
SMD344	BASINTD = the mean of ZDISYM		Average of the DAILY ITCHY THROAT SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	DAILY ITCHY THROAT BASE SCORE (BASINTD)		990
SMD348	BASRRNAM = the mean of ZDISYM2 where AMPM = AM		Average of the AM RHINORRHEA SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	AM RHINORRHEA BASE SCORE (BASRRNAM)		990
SMD350	BASIWEAM = the mean of ZDISYM4 where AMPM = AM		Average of the AM ITCHY EYES SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	AM ITCHY EYES BASE SCORE (BASIWEAM)		990
SMD352	BASSNZPM = the mean of ZDISYM1 where AMPM = PM		Average of the PM SNEEZING SYMPTOM SCORE  before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	PM SNEEZING BASE SCORE (BASSNZPM)		990
SMD359	CAPSULA = sum of ZCAPSUL where AMPM = AM		The sum of number of rescue medication taken in AM	Mean		Number	Secondary Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season NUMBER OF RESCUE MEDS USED - AM (CAPSULA)	tablet	990
SMD360	CAPSULP = sum of ZCAPSUL where AMPM = PM		The sum of number of rescue medication taken in PM	Mean		Number	Secondary Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season NUMBER OF RESCUE MEDS USED - PM (CAPSULP)	tablet	990
